Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,"Kelly Services® has been providing outstanding employment opportunities to the most talented individuals in the marketplace. We are proud to offer a long-term temporary opportunity to work as a Remote Data Scientist at a prestigious Fortune 500® company.
Important information: This position is recruited for by a remote Kelly office, not your local Kelly branch. To be considered for this position, you must use the “Submit Resume” button to submit your resumes. If you have questions about the position, you may contact the recruiter for this position (Brooke.Schoen@kellyservices.com) however your resume must be received via the “Submit Resume” button included within.

Job Title: Data Scientist, Health Economics and Outcomes Research/Real World Evidence
100% remote working 8-5 Pacific Time, initial one year contract

Pay: $65 per hour

Reporting to the Director, Health Economics & Outcomes Research/RWE, the Contractor will be responsible to conduct efficient data management and hands on statistical analysis using appropriate statistical software (SAS) for observational studies supporting RWE. The contractor will be responsible for the execution of internal HECOR/RWE hypothesis generating exploratory research and leveraging internally available data sources to obtain business insights in collaboration with internal cross-functional teams including Information Technology (IT).

Key Responsibilities include:
With guidance and direction from the team Lead, the Contractor is expected to design and execute internal HECOR/RWE studies and hypothesis generating exploratory analyses. The specific tasks will include providing hands-on analytical support on retrospective database analyses using either insurance claim databases, patient reported outcomes, quality of life assessment surveys and other relevant data sources
Responsibility of the contractor will also include mining internally available secondary data sources for real-world business insights. This includes (not limited to) designing, developing, validating and documenting SAS programs to generate analysis datasets, analyze data and generate summary of findings for observational/RWE studies
With guidance and direction from the team lead, the contractor would also be expected to draft and review the study report documentations, study protocols, study analysis documents, excel and SAS (and/or R) data files and other documents related to the execution of internal health economics and outcomes research studies and models
Apply various statistical methods to the analysis and provide interpretation of the results
Ensure that study documentation and specifications are consistent and comply with company standards by providing input into pooled datasets, data structures, and analysis specifications for observational studies
The contractor would be expected to draft the interpretation deliverables such as study report and build a presentation of key findings for internal socialization on the analyses conducted. They may also be expected to develop abstracts and posters on those studies, if needed
The contractor would be responsible for the accuracy and reliability of results of their studies
The contractor would also be responsible for providing data transfers to vendors as specified for various studies. They may be expected to work with some vendors towards successful execution of HECOR-RWE tactics across multiple indications, if deemed necessary by the team lead
Completing other appropriate duties, as assigned by the manager, which require similar skills in accordance with business needs
This will be a full-time contracting position for a period of 12 months, with the potential to lengthen the duration per demonstrated successful performance and contingent upon continued organizational needs assessment

Job Requirements:
Master’s degree in Pharmacy Outcomes Research, Economics, Health Services Research, Bio Statistics, Epidemiology, Health Policy, Public Health or a related discipline and experience in HECOR-RWE research is required
Minimum 2 years of SAS programming experience in a biotechnology, pharmaceutical, CRO or other health care setting. Strong SAS programming skill and understanding of database structures required
Ability to use structured programming techniques in SAS is required. Ability and willingness to use and/or modify existing programs and macros is needed
Understanding of common real-world database terminology and standards is required
Understanding of research methodology used in conducting health economics and outcomes research and real-world studies is required. Prior work experience related to HECOR-RWE studies is preferred
Must possess the ability to handle multiple tasks and projects, maintain clear tracking and documentation, and manage tight project timelines
Strong verbal and written communication skills is required
Must be able to work independently as well as be a cross-functional team player, as needed

Top 5 skills required:
1. Strong SAS Programming
2. Claims data analysis
3. Statistical knowledge
4. Understanding of common real-world database terminology and standards is required
5. Understanding of research methodology used in conducting health economics and outcomes
We invite you to bookmark our Web site and encourage you to review it regularly for new opportunities worldwide: www.kellyservices.com.
Kelly Services® is a U.S.-based Fortune 500 company. With our global network of branch locations, we are uniquely positioned to provide our customers with international staffing support and our employees with diverse assignments around the world.
Kelly Services is an Equal Opportunity Employer

Why Kelly®?
Kelly® Science & Clinical is your connection to premier scientific and clinical companies looking to hire talented people just like you. Every day, we match science professionals with dream jobs that fit their skills and interests—it’s the way we think job searching should be. Nearly 100 percent of our science recruiters have a professional background/education in science, so we know a thing or two about the science market and how to get you noticed.
About Kelly®
At Kelly, we’re always thinking about what’s next and advising job seekers on new ways of working to reach their full potential. In fact, we’re a leading advocate for temporary/non-traditional workstyles, because we believe they allow flexibility and tremendous growth opportunities that enable a better way to work and live. Connecting great people with great companies is what we do best, and our employment opportunities span a wide variety of workstyles, skill levels, and industries around the world.
Kelly is an equal opportunity employer committed to employing a diverse workforce and providing accommodations for people with disabilities in all parts of the hiring process as required under its Employment Accommodation Policy. Kelly will work with applicants to meet accommodation needs that are made known to Kelly in advance.
]]",3.5,"Kelly
3.5","Sunnyvale, CA",5001 to 10000 Employees,1946,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD)
Senior Healthcare Data Analyst - Cost and Utilization Analysis,53 k$-70 k$ (Esti. de Glassdoor),"Position Summary:

The Senior Healthcare Data Analyst is responsible for providing analysis and recommendations regarding the Utilization and Cost of Behavioral Health Services at Community Behavioral Health.This position will provide analysis of based on Budget to Actual utilization and PMPM of services as well as coordinate with various departments including Finance, Data Informatics, Clinical and Provider Network Management in the determination of recommendations regarding Utilization and Cost findings.

Essential Functions:

·Coordinate with various CBH teams and departments through effective communication, report generation, solution development and team building.

·Provide or work with various departments to provide, and present various complex financial analyses and reports to Utilization Management Committee, the Clinical, Finance and Network Operations Departments.

·Maintain, modify and create SQL code used for financial analysis and reports.

·Identify, research and bring to resolution any issues with the financial data and reports.

·Develop detailed financial projections.

·Review monthly Quality Assurance Reports prior to issuance to Finance Executive Staff.

·Coordinate the processing of compliance claims adjustments and reporting results to the Compliance Department.

·Development of Value Based Contracting Models and Evaluation of Value Based Contracting.

Position Requirements:

·Education: Bachelor’s degree in Finance, Accounting, Economics or Mathematics

·License/Certification: N/A

·Relevant Work Experience: Minimum of 5 years of experience in financial forecasting and analysis

·Skills:

·Extensive knowledge of Microsoft Office applications

·Proficient in using SQL, including querying and troubleshooting

·Thorough understanding of data manipulations and reconciliation

·Excellent analytical skills

·Excellent interpersonal and verbal and written communication skills

·Able to work independently",3.2,"Community Behavioral Health
3.2","Philadelphia, PA",501 to 1000 Employees,1997,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Data Scientist,-1,"Mason, Ohio based Clarigent Health is using artificial intelligence and machine learning to study a person’s language and speech patterns to detect warning signs of suicide ideation or other types of mental illness. With preventative care at the forefront of the company’s mission, this startup aspires to revolutionize how everyone from schools to clinicians detect and treat mental illness.

We are looking for passionate, intelligent, creative and inquisitive individuals who want to part of a team of diverse individuals that share the same values and passion. Our goal is to change the world for the better every day.

Join us to research mental health conditions and treatments or to develop cutting edge artificial intelligence and machine learning technology. But, more importantly, join us to save lives and to make life better for millions of people worldwide.

Data & Artificial Intelligence Science

Use data and artificial intelligence science with a focus on machine learning techniques to perform research, create new approaches and assist with the design, development, and deployment of AI systems, intelligent data analytics systems and other related advanced technologies to solve healthcare problems.

REQUIREMENTS
Fluency in Python. Will consider candidates with strong programming skills and machine learning experience willing to learn Python.
Familiarity with Python libraries such as: scikit-learn, pandas, numpy, matplotlib, NLTK, and spaCy.
Understanding of machine learning and natural language processing fundamentals. For example, what does the area under the receiver operating characteristic curve tell us? What is the bag of words model?
Ability to communicate complicated ideas.
Willing to learn new things and adapt to dynamic startup environment.
PREFERRED SKILLS
Experience with Power BI or similar.
Ability to apply findings of relevant literature to practice.
Academic writing and presenting.
Job Type: Full-time

Pay: $75,000.00 - $90,000.00 per year

Benefits:
401(k)
Disability insurance
Employee assistance program
Flexible schedule
Health insurance
Life insurance
Paid time off
Professional development assistance
Schedule:
Monday to Friday
COVID-19 considerations:
We are very flexible on office hours and telecommuting.

Experience:
relevant: 3 years (Required)
Location:
Mason, OH 45040 (Preferred)
Work authorization:
United States (Required)
Work Location:
One location
Company's website:
https://clarigenthealth.com/
Company's Facebook page:
https://www.facebook.com/ClarigentHealth
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Yes, temporarily due to COVID-19",-1,Clarigent Health,"Mason, OH",-1,-1,-1,-1,-1,-1
Quality Control Scientist,-1,"Position Summary:

The Quality Control Scientist will provide oversight of contract analytical labs and manufacturers. This includes, review of analytical data from release and stability studies and review of method validation protocols and reports. The candidate should have a strong understanding of cGMPs and relevant ICH and FDA regulatory guidelines. Prior hand-on experience working in a QC lab and thorough understanding of root cause analysis for investigations is required. This position will interact and work closely with cross-functional teams, including, manufacturing, quality assurance and regulatory.

Responsibilities:
Review analytical data packages generated during GMP release/stability testing of drug substance and drug product at the contract manufacturing sites
Assist in investigations and formulate a plan to identify/confirm root cause for anomalous results
Write and/or review method validation and transfer protocols and reports
Write and/or review protocols and reports related to stability studies as well as prepare tables summarizing results from stability studies
Track and trend release and stability data for batch analysis and shelf life establishment
Initiate change control for internal specifications and regulatory documents
Evaluate and perform risk assessment for change control documents provided by the contract manufacturing sites
Manage reference standard program for drug substance, impurities and degradants
Qualifications:
B.S. or M.S in analytical chemistry or related scientific disciplines with 5+ years of experience in analytical development with minimum of 3+ years of experience in quality control
Skills, Knowledge & Abilities:
Hands-on proficiency and problem-solving skills with chromatographic techniques e.g. HPLC, UPLC and GC. Familiarity with mass and UV/VIS spectroscopic techniques is an advantage
Prior experience in interacting with contract labs and manufacturing sites is a plus
Hands-on experience with method validations and transfers in support of pharmaceutical manufacturing
Proficiency in performing root cause analysis for investigation
Experience with iStability software is a plus
Passion for learning, creating, relating, communicating, and leading cross functional teams
Excellent verbal and written communication skills
Experience in a start-up environment preferred
Must be pro-active team player, flexible, and open to change
Working Conditions: Will work from the Company's San Francisco Bay Area office, with additional travel as required to oversee the virtual development and manufacturing network (estimated at 25%).

Physical Demands and Work Environment:

This is largely a sedentary role; however, some filing is required. This would require the ability to lift files, open filing cabinets and bend or stand on a stool as necessary.

This job operates in a professional office environment and routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines.

Benefits and Perks:

Apellis offers a great benefit package which includes: health insurance with full premium coverage, 401K with company match, paid time off (PTO), long- term disability insurance, life insurance and more! Visit http://apellis.com/careerbenefits.html to learn more.

Company Background:

We are a clinical-stage biopharmaceutical company focused on the development of novel therapeutic compounds to treat disease through the inhibition of the complement system, which is an integral component of the immune system, at the level of C3, the central protein in the complement cascade. We believe that this approach can result in broad inhibition of the principal pathways of the complement system and has the potential to effectively control a broad array of complement-dependent autoimmune and inflammatory diseases.

Visit http://apellis.com/about.html to learn more.

EEO Statement:

Apellis is an equal opportunity employer and complies with all applicable federal, state and local fair employment practices laws. Apellis strictly prohibits and does not tolerate discrimination against employees, applicants or any other covered persons because of race, color, religion, creed, national origin or ancestry, ethnicity, sex (including pregnancy), gender (including gender nonconformity and status as a transgender or transsexual individual), age, physical or mental disability, citizenship, past, current or prospective service in the uniformed services, genetic information, marital status, AIDS/HIV status, smoker/nonsmoker, and occupational pneumocononiosis or any other characteristic protected under applicable federal, state or local law.

Other Duties:

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice.

#LI-BE1",3.5,"Apellis
3.5","San Francisco, CA",201 to 500 Employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Scientist,83 k$-135 k$ (Esti. de Glassdoor),"Data Scientist

Language: English

Location: Memphis, TN

Travel: <10>

Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman delivers exceptional service and innovative solutions to our customers globally in the pulp and paper, leather, and water treatment sectors to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.

Position Summary
Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program at our Memphis facility. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.

Competencies Needed for Success
Bachelor’s degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
5+ years of relevant working experience in an analytical role involving data extraction, analysis, and visualization
Expertise in one or more programming languages R, Python, MATLAB, JMP, Minitab, Java, C++, Scala
Key libraries such as Sklearn, XgBoost, GLMNet, Dplyr, ggplot, Rshiny
Experience and knowledge of data mining algorithms including supervised and unsupervised machine learning techniques areas such as Gradient Boosting, Decision Trees, Multivariate Regressions, Logistic regressions, Neural Network, Random Forest, Support Vector Machine, Naive Bayes, Time Series, Optimization
Microsoft IoT/data science toolkit: Azure Machine Learning, Datalake, Datalake analytics, Workbench, IoT Hub, Stream Analytics, CosmosDB, Time Series Insights, PowerBI
Data querying languages (e.g. SQL, Hadoop/Hive) and Preferred Qualifications
A demonstrated record of success with a verifiable portfolio of problems tackled
Preferred Qualifications
Master’s or PhD degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
Experience in the specialty chemicals sector or similar industry
Background in engineering, especially Chemical Engineering
Experience starting up a data science program
Experience working with global stakeholders
Experience working in a start-up environment, preferably in an IoT company
Knowledge in quantitative modeling tools and statistical analysis",3.5,"Buckman
3.5","Memphis, TN",1001 to 5000 Employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD)
Molecular Biology Research Scientist PhD,-1,"*Company Name: *Avance Biosciences Inc.

*Job Title: *Research Scientist
*Department: *Operations
*Reports To: *Department Manager
*Classification: *Full-time, Exempt
*Date: *September 2020

Avance Biosciences Inc., a fast-growing biotechnology CRO, is recruiting several Research Scientists (PhD) in its GLP and/or GMP biological testing departments. This position plans, directs, and manages research and testing projects on behalf of our biopharma and biotech clients, as well as development projects to improve laboratory operations.

*ESSENTIAL DUTIES AND RESPONSIBILITIES: *

The omission of specific statement of duties does not exclude them from the position if the work is similar, related or a logical assignment to this class. Duties, responsibilities, and activities may change at any time with or without notice.
* Plan and execute biological assay development, validation, and sample testing activities.
* Prepare study protocols and/or test plans according to client's requirements.
* Direct laboratory associates to execute experimental plans.
* Lead in incident and OOS investigation and root cause analysis per company quality policies.
* Perform data analysis and prepare project reports.
* Communicate to clients on project progress regularly.
* Establish standard operational procedures and train laboratory associates as needed.
* Ensure all project related work are done in compliance with GLP and CGMP regulations.
* May supervise a small group of lab scientists.

*QUALIFICATIONS: *

A successful candidate for this position must have the following experience, knowledge, and skills:
* Must have a PhD degree in biological sciences
* In-depth knowledge of and hands-on experience in ddPCR, NGS, and QPCR
* Post doctorate independent research experience is preferred
* Detailed-oriented and multi-tasking skills
* Strong problem-solving skills

*SPECIAL JOB CHARACTERISTICS: *Demonstrated excellent interpersonal and communication skills. Able to work independently and as part of a team on complex tasks with minimal supervision. Able to create accurate work in a fast-paced environment with constant change and interruptions. Able to prioritize effectively and manage multiple tasks simultaneously. Commitment to the mission and values of Avance Biosciences Inc.

Job Type: Full-time

Benefits:
* 401(k)
* 401(k) matching
* Dental insurance
* Disability insurance
* Health insurance
* Life insurance
* Paid time off
* Vision insurance
Schedule:
* Monday to Friday

Experience:
* Molecular Biology Lab: 4 years (Required)

Education:
* Doctorate (Required)

Work authorization:
* United States (Required)

Work Location:
* One location

Company's website:
* www.avancebio.com

Work Remotely:
* No",3.4,"Avance Biosciences Inc
3.4","Houston, TX",1 to 50 Employees,Company - Private,Company - Private,-1,-1,-1
Data Scientist,60 k$-97 k$ (Esti. de Glassdoor),"Job Description *
We're looking for an advanced mathematician who has the ability to think in entirely new ways. This person should be excited to solve complex problems by applying the combination of a deep mathematics background with intuition and the feedback of experts in the field.

The successful mathematician at Event Dynamic will utilize strong problem-solving skills, significant programming experience, and business analytics to solve real-world dynamic pricing problems at scale. This role will be highly involved in the development of the core AI-driven pricing product and will be expected to make key business decisions on complex real-world problems. This position will interface with the subject matter experts and machine learning team to communicate business impacts of technical decisions.
Job Responsibilities*
Automation of the ML pipeline and development of models to scale. Generalization of pricing models for new use cases. Collects, creates, ingests, analyzes, evaluates, and iterates through datasets to explore key features, develop training data sets, and create new models.
Performs Feature Engineering on the ML pricing models. Works within a team of data science professionals and digs into complex technical problems. Reports back on findings and technical decisions to subject matter experts.
Will show drive and initiative to push the core product and technology forward. Collaborates with cross-cutting team of executives, product managers, clients, software engineers, and data scientists.
Requirements*
A bachelor or master’s, or PhD degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, Engineering etc.) or equivalent experience.
Minimum of two years’ experience utilizing advanced mathematics and/or machine learning techniques to solve real-world problems. Experience writing code to build complex data pipelines.
Experience using Python and ML libraries, pandas preferred
Minimum of four years’ experience in software development and data analysis.
Excellent verbal and written communication. Ability to present complex technical findings to a team of subject matter experts.
Company Description*
Event Dynamic’s technology is the most sophisticated ticket pricing system in the world. We employ artificial intelligence and advanced mathematics to automate ticket pricing, delivering smart and adaptive prices that puts lost revenue back in the hands of primary rights holders of live events.

Job Type: Full-time

Schedule:
Monday to Friday
Experience:
software development: 4 years (Required)
Machine Learning: 2 years (Required)
data analysis: 4 years (Preferred)
Education:
Bachelor's (Preferred)
Language:
English (Required)
Work authorization:
United States (Required)",3.1,"Event Dynamic
3.1","Dallas, TX",1 to 50 Employees,1998,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
Data Scientist,108 k$-174 k$ (Esti. de Glassdoor),"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.

In this role, your primary responsibility will be to partner with key stakeholders and lead the development of an analytics program to support and enable the continued growth critical to Facebook's Data Center organization. You will be responsible for creating end to end analytics programs, from data sourcing to surfacing insights and driving action, for various aspects of Facebook's global data center operations. You will also help translate data and identify efficiency opportunities. You will be expected to use data to provide meaningful recommendations and actionable strategies to key stakeholders, and develop best practices, including streamlining of data sources and related programmatic initiatives.
The ideal candidate will have a passion for working in white space and creating impact from the ground up in a fast-paced environment. Additionally, you will have a proven track record of thought leadership and impact in developing similar analytics and metrics-based programs. This position is part of the Infrastructure Data Center team and located in Menlo Park, CA.


Leverage data and business principles to create and drive large scale FB Data Center programs
Define and develop the program for metrics creation, data collection, modeling, and reporting the operational performance of Facebook’s data centers
Work cross-functionally to define problem statements, collect data, build analytical models and make recommendations
Be a self-starter, motivated by a passion for developing the best possible solutions to problems
Identify and implement streamlined processes for data reporting and communication
Use analytical models to identify insights that are used to drive key decisions across the organization
Routinely communicate metrics, trends and other key indicators to leadership
Provide leadership and mentorship to other members of the team
Lead and support various ad hoc projects, as needed, in support of Facebook’s Data Center strategy
Build and maintain data driven optimization models, experiments, forecasting algorithms and capacity constraint models
Leverage tools like R, Tableau, PHP, Python, Hadoop & SQL to drive efficient analytics



Degree in an analytical field (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research, Management Science)
3+ years of experience in a role with data analysis and metrics development
3+ years of hands-on experience analyzing and interpreting data, drawing conclusions, defining recommended actions, and reporting results across stakeholders
3+ years of SQL development experience writing queries
3+ years of hands-on project management experience
3+ years of experience with data visualization tools
3+ years of experience with packages such as R, Tableau, SPSS, SAS, STATA, etc.
2+ years of experience with scripting in Python or PHP
Experience leveraging data driven models to drive business decisions
Experience using data access tools and building visualizations using large datasets and multiple data sources
Experience thinking analytically
Experience communicating data to all organizational levels
Experienced with packages such as NumPy, SciPy, pandas, scikit-learn, dplyr, ggplot2
Knowledge of statistics and optimization techniques
Hands-on experience with medium to large datasets (i.e. data extraction, cleaning, analysis and presentation)



Technical knowledge of data center operations



Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",4.5,"Facebook
4.5","Fremont, CA",10000+ Employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD)
Customer Success Scientist/Engineer,-1,"Scismic is supporting the growth of our life sciences software company. We are looking for a scientist with a strong background in Computational Biology and Bioinformatics to join our team. You should be an effective communicator, an organized individual, and strong at problem-solving.
Responsibilities: *
Collaborate with clients to plan/map their workflow requirements, process, data . This work may include but is not limited to:
Client consultations to ensure best practice translation of their workflows into our proprietary science platform
Apply the platform data architecture strategies to structure workflow information
Customize our platform to reflect our clients' workflows and reporting
Verify and perform testing on platform workflow configurations
Support client testing
You will support and troubleshoot client workflow execution issues
You will scope and author consulting services SOW documents
You will translate client needs into new core product software requirements
Job Type: Full-time

Schedule:
Monday to Friday
Company's website:
www.scismic.com
Work Remotely:
Yes, always",-1,Scismic,"Austin, TX",-1,-1,-1,-1,-1,-1
Senior Scientist/Senior Project Manager,-1,"SUMMARY
Reporting to the Vice President, the Senior Scientist/Senior Project Manager is required to provide project management, mentor and lead teams of junior staff, and help the company obtain project work through writing work proposals and taking an active role with regards to strategic growth and marketing.
It is expected that the Senior Scientist/Senior Project Manager can generally work independently to generate complex reports and other documents with only final review prior to product submittal. They are expected to be able to manage a project from the bid through reporting. This includes coordinating with other staff to ensure any necessary work or data collection is performed as necessary to meet the objectives of the project’s scope of work. Individuals in this role should be skilled in balancing internal management with external leadership, business development and visibility to support the growth goals of the firm.
ESSENTIAL DUTIES AND RESPONSIBILITIES
BUSINESS DEVELOPMENT
Works with Executive Team to ensure the firm’s business development plan is consistently executed in support of MTS’ growth strategies
Supports the potential project search and request-for-proposal process for new business
Participates in strategic development and pursuit of clients and projects
Maintains working dialog with key clients including federal, state and local officials
Participates in the development and execution of key project and client presentations
Develops personal relationships/networking opportunities with allied market leaders, consultants and other professionals
PROJECT MANAGEMENT
Responsible for technical oversight and execution of various environmental consulting projects; managing and mentoring field staff; and ensuring the safe execution of all phases of project work to meet our clients’ objectives as well as company goals for revenue generation and profitability
Schedule or supervise professional-level technical and administrative support staff to achieve established objectives and deadlines
Responsible for project administration including project financial performance, budgeting, directing appropriate staff, directing the preparation of and approving project invoices, maintaining project files, closing the job, and preparing project descriptions
Evaluates the needs of a project and effectively delegate various tasks and responsibilities.
Coaches and mentors project team members in the technical and administrative activities required to successfully complete projects
Maintains client contact throughout the project to keep the client informed of key project milestones and budget issues
Responds to client and prospective client requests
Leverages existing client relationships and builds new client relationships to develop projects
PROFESSIONAL REQUIREMENTS AND CERTIFICATIONS
Maintains an advanced SCUBA certification
Can tow, launch, and operate small watercraft
Has knowledge of coastal ecosystems and the species that inhabit them
Can design field sampling programs using accepted scientific methods
Has experience using a variety of marine remote sensing equipment such as water quality probes, remotely operated vehicles, and various sonar equipment
Ability to lead and manage a team efficiently
Ability to travel as needed
Job Type: Full-time
Pay: $70,000.00 - $110,000.00 per year
Experience:
boat handling: 1 year (Required)
Project Management: 2 years (Required)
Education:
Bachelor's (Required)
Location:
San Marcos, CA 92069 (Required)
License:
SCUBA (Required)
Work Remotely:
No",-1,"Marine Taxonomic Services, Ltd.","San Marcos, CA",-1,-1,-1,-1,-1,-1
Sr. Business Intelligence Analyst - Developer,82 k$-157 k$ (Esti. de Glassdoor),"Founded in 1886, Buckeye Partners, L.P. has a proven track record of stability and success. We pride ourselves on the laser focus we apply to safely providing service and value to our customers, operating under a strong set of values, and empowering our employees to make decisions. We have a tenacious commitment to environmental responsibility and regulatory compliance in all that we do.

It is our internal culture that sets us apart from other companies. Our goal is to provide our employees with a greater span of responsibility, the ability to make decisions, and access to experts to help you build your skills and experiences. Each of our career tracks provides employees with the ability to innovate and be a significant contributor from their first day on the job.

Buckeye Partners is currently seeking aSr. Business Intelligence Analyst - Developerwith experience in the design and support of new and existing enterprise planning and business intelligence information systems. in the Oil& Gas Industry to join our team!

Role Summary:

The Sr. Business Intelligence Analyst– Developer works with business and IT counterparts and is responsible for the design and support of new and existing enterprise planning and business intelligence information systems, dashboards and reports. This role prioritizes data and information requirements and helps to solve complex technical and analytical problems. This position participates in project teams to define and implement new or updated technologies, standards, testing methodologies, training for enterprise wide business intelligence and planning solutions.

Responsibilities& Essential Functions include:
Serve as an expert/lead technical specialist for the direction and development of complex, enterprise class business solutions.
Drive the planning, budgeting, business intelligence and data warehouse design in concert with business and IT resources.
Responsible for the design, documentation, development, testing and deployment of various business intelligence and planning applications, dashboards and reports in support of the business.
Help to support, troubleshoot and maintain existing legacy business applications (Microsoft environment, Cognos, etc.).
Communicate and demonstrate design concepts and development principles to others on the team.
Act as subject matter expert for Business Intelligence in support of all business applications.
Participate with other teams in integration efforts as new systems are deployed or legacy systems are retrofitted into Buckeye business practices.
Develop and provide training for new and existing applications.
Support other areas/special projects as needed.
And other duties as assigned.
Position Requirements:
Bachelors or Masters Degree in an Information Technology, Data Science, or Data Analytics
10+ years related experience in appropriate specialty areas including but not limited to: Analysis and design, Business Intelligence principals, database analysis, application support management, financial applications and related data
Experience in the Microsoft platform (Power BI, Power Apps, Power Automate, Microsoft Azure Cloud) is desired
Knowledge base with Azure Cloud BI data architechture including but not limited to Azure Data Factory, Azure Databricks, Azure Analysis Service, and Azure Synapse Analytics is desired
Prefer experience with ETL processes
SQL Server experience is required
Cognos experience in any of the following areas Cognos 10 BI, PowerPlay, Report Studio, Metric Studio, Analysis Studio.
Ability to travel up to 20% domestically and internationally
Certificates& Licenses:
Microsoft Certification preferred
Other Business Analysis, Business Intelligence and Data Architecture certifications desired
Other Skills, Attributes and Abilities:
This position requires exceptional analytical and technical skills. One must be able to pay particular attention to detail and accuracy, and be able to recognize symptoms, analyze business scenarios, and take appropriate action to define and implement successful business strategies
This position requires strong communication and interpersonal skills. One must be able to assist users in a pleasant, non-technical manner for problem resolution.
Essential Functions:
This position requires the ability to safely and successfully perform essential job functions consistent with ADA, FMLA and other federal, state and local standards, including meeting qualitative and or/quantitative productivity standards.
This role requires the ability to maintain regular, punctual attendance consistent with the ADA, FMLA and other federal, state and local standards.
This position requires compliance with all personnel policies.


Physical& Safety Requirements:
The person in this position needs to occasionally move inside the office to access file cabinets, office equipment, etc.
This role continuously operates a computer and other office productivity equipment (i.e. a calculator, copy machine and computer printer).
About You:

To be successful in the Buckeye culture, our employees must Possess excellent communication skills, both written and verbal. You must be able to work independently. You must also be able to exercise tact, discretion, and professionalism when dealing with internal clients and external counterparties (customers, vendors, etc.), as well as when handling sensitive and confidential information.

Buckeye Partners wants to create and reward an organizational focus that stimulates the creative and entrepreneurial actions of our employees and results in innovative ways of reducing costs, generating revenues, improving productivity, or improving processes.

About Us:

Buckeye Partners, L.P. is the logistical solutions partner of choice for the global energy business and one of the nation’s largest independent petroleum products pipeline transportation and terminalling service provider; our strength is to create centers of expertise around our products, technologies and client needs.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, or national origin. We are also an equal opportunity employer of individuals with disabilities and protected veterans. Please view Equal Employment Opportunity Posters provided by OFCCP on the following website:http://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm",3.3,"Buckeye Partners, L.P.
3.3","Houston, TX",1001 to 5000 Employees,1886,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$5 to $10 billion (USD)
